product,date,title,rating,body
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 10 November 2020,Super good,5.0,Good for oily skin
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 12 December 2020,Nice,5.0,Good moisturiser.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 11 October 2019,Non greasy,5.0,Very nice product n really non greasy .. must buy this one .. I just  love the products of mcaffeine
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 22 January 2020,Coffee magic,5.0,Good moisturiser for full body frangrance stays for very little time but very good for full body
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 24 March 2021,Below average,2.0,Overall aroma of coffee was ruined by addition of white lily....i mean why not only coffee fragrance...?
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 10 January 2022,Overpriced...,1.0,Frankly speaking I've used so many body lotion I think it will be ok if the price is lower.. Nothing special about it. Alternatively try their Body Butter which is pretty good I thik.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 17 April 2021,Not for winters,2.0,Good product but not good for winters
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 9 January 2020,Average,3.0,The scent is too pathetic😑
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 2 July 2020,Nice,5.0,It is really good 😊
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 31 May 2020,Nice product.,5.0,Light non-sticky moisturizer with soothing smell.
