product,date,title,rating,body
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 11 December 2020,The smell is soo strong!!!,4.0,"Great moisturizer. Consistency is good, it's not at all greasy ,gives a little cooling sensation. Everything is great except the smell. The smell is soo strong. The type of fragrance is but it's too strong, could have been mild."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 16 January 2020,Good moisturizer wish it smelled better,4.0,"Good moisturizer. It is non sticky, get absorbed quickly. I use it before bed, my skin feels soft even in morning. Would have given 5stars if it was unscented. I completely hate the smell, though my son likes it. It smells like cigar not coffee or floral. Good thing is smell fades aways after some time. And it isn't too strong."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 14 December 2021,Long lastimg with soothing aroma,5.0,"Such a chic bottle with long lasting moisturising power. I really like the smell of the lotion, it is not very strong but very mild and soothing. Must try product."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 18 April 2022,Smells too good,5.0,It smells too good
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 12 November 2021,Smooth skin,5.0,It smooth the skin and keep it healthy.... The smell is just like coffee.... I love it
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 20 July 2021,Nice,4.0,Nice
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 21 December 2021,Satisfied,5.0,"Really a nice product, satisfied."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 2 October 2020,Just Amazing!,5.0,"mCaffeine Naked & Raw Coffee Body Lotion is perfect for daily moisturization and will perk up mood with the great aroma of Coffee.It is extremely hydrating, pleasing and soothing to body. Best part of the product is it is paraben free hence used for sensitive skin too. Highly recommended."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 1 October 2020,Loving it.,5.0,"I am in love with this body lotion. It doesn't make the skin sticky, at the same time it doesn't keep the skin dry. The fragrance of lotion is too good and it makes me feel good. It stays for long hours and prevents the skin to be dry."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 3 June 2020,Mcaffeine,5.0,I love mcaffeineThis lotion is so good it absorbs really quick.As I have a combination skin this product is a real blessing but the smell is not much like coffee 😒 I love coffee wish it would smell more like it. Other than the smell it is really a very good product. Loved it ❤❤❤
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 30 September 2020,Body lotion smells heavenly,5.0,"I really liked this product, even though it says for normal to oily skin , it comforts my normal skin. It smells heavenly, it has a smooth texture.  It comes with a cap holder making it travel friendly and doesnt spill. It comes in a protective box."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 29 December 2019,Good moisturiser but doesn't smell of coffee at all,3.0,"Mcaffeine products are of very good quality and the coffee ones smell exactly of coffee, apart from this one. This lotion doesn't smell of coffee at all. The rest of the coffee range though smells of coffee. However, apart from the smell which is a huge disappointment, the lotion is very moisturising and is not sticky and floppy at all which is a huge positive."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 21 December 2020,Amazing product with benefits,5.0,This is an amazing product. I really like mcaffeine and the lotion is simply awsm. It has great scent and last long even in winters also. It is very soothing on skin and feels fresh for long hours. It's worth the money.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 1 November 2020,A great lightweight lotion,5.0,I am absolutely and totally in love with this brand. Mcaffeine body lotion has worked wonders with my skin. It's been around 10 days since I've been using it regularly and the effect is amazing. My skin looks healthier and softer. Really happy with this.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 30 November 2021,It’s really good,5.0,It makes me happy and satisfying…
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 4 October 2020,Good for all skin types,5.0,This is an amazing product. The fragrance is also very good. It is also made for all skin types. It doea not feels sticky or it does not have any side effects. It is capable of moisturizing all skin types. I am very happy with this purchase.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 10 May 2021,Very good,4.0,Very good for my skin.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 1 February 2021,Good,4.0,It's good . But scent lasts only for a little while🥺
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 10 August 2021,Good,3.0,"Good moisturizing, non-sticky, but i dont like the smell of it...overall decent product👍"
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 5 April 2021,Recommended,4.0,Great product for Indian skin
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 22 October 2020,Best skin care product,5.0,"Really nice and good quality and enough quantity , its scent is not as coffee , it is not sticky or greesy , package is same as shown in picture , you can buy this product it worths to ur money"
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 10 April 2021,bdjc,4.0,gzkckm c
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 26 November 2020,My skin feels so smooth,5.0,"For me, It's a must have in winters as my skin becomes very dry. It gives enough moisture to the skin which lasts a whole day. It's not too oily and absorbs pretty well. I loved it!"
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 3 September 2020,Good product and value for money,4.0,Loved it. Fragrance is the best. The only problem is it's not long Lasting.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 5 May 2021,Coffee body lotion,3.0,It's non-sticky and moisturising. My only gripe is its fragrance. It's too strong and doesn't smell like coffee at all.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 8 October 2020,excellent,4.0,very good product good mixture of coffee flavour with soothing moisturisier
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 22 October 2020,Value to money,5.0,This product doesn't feels greecy and is affective towards the skin but doesn't stays for long  if you have dry skin .. so you might need to apply again .still the teatree one is better
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 28 November 2020,Best aromatic moisturiser ever used,5.0,This is the best moisturiser I have used in recent time and it’s  soothing aroma mesmerises you I would highly recommend this product and delivery timeliness was maintained very well by Amazon.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 10 July 2021,Good smell and non sticky,5.0,Now this one is really nice good smell non sticky value for the price paid
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 16 January 2021,Product review,5.0,"The coffee body lotion is a god product. It Is perfect for all skin type. It moisturizes, non greesy and moisturize skin with coffee smell. Just a perfect combination."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 14 June 2021,Would prefer this,5.0,This was very light on skin nd not at all sticky ..smells good nd leave skin smooth...
